2021-02-17 18:22:11,034 - log  - 抓取华锦股份股票数据
2021-02-17 18:22:14,094 - log  - 添加华锦股份股票数据到数据库--成功,用时-3.0599147000000073
2021-02-17 18:22:14,094 - log  - 华锦股份 共487条数据已添加到数据库！
2021-02-17 18:22:14,098 - log  - 初始化pro接口成功
2021-02-17 18:22:14,098 - log  - 抓取中金岭南股票数据
2021-02-17 18:22:17,173 - log  - 添加中金岭南股票数据到数据库--成功,用时-3.074463999999992
2021-02-17 18:22:17,173 - log  - 中金岭南 共487条数据已添加到数据库！
2021-02-17 18:22:17,178 - log  - 初始化pro接口成功
2021-02-17 18:22:17,178 - log  - 抓取农产品股票数据
2021-02-17 18:22:20,251 - log  - 添加农产品股票数据到数据库--成功,用时-3.074116900000007
2021-02-17 18:22:20,252 - log  - 农产品 共487条数据已添加到数据库！
2021-02-17 18:22:20,256 - log  - 初始化pro接口成功
2021-02-17 18:22:20,256 - log  - 抓取深圳华强股票数据
2021-02-17 18:22:23,286 - log  - 添加深圳华强股票数据到数据库--成功,用时-3.0298429000000056
2021-02-17 18:22:23,286 - log  - 深圳华强 共477条数据已添加到数据库！
2021-02-17 18:22:23,290 - log  - 初始化pro接口成功
2021-02-17 18:22:23,290 - log  - 抓取中兴通讯股票数据
2021-02-17 18:22:26,427 - log  - 添加中兴通讯股票数据到数据库--成功,用时-3.135806699999989
2021-02-17 18:22:26,427 - log  - 中兴通讯 共487条数据已添加到数据库！
2021-02-17 18:22:26,431 - log  - 初始化pro接口成功
2021-02-17 18:22:26,431 - log  - 抓取北方国际股票数据
2021-02-17 18:22:29,308 - log  - 添加北方国际股票数据到数据库--成功,用时-2.876757900000001
2021-02-17 18:22:29,308 - log  - 北方国际 共487条数据已添加到数据库！
2021-02-17 18:22:29,312 - log  - 初始化pro接口成功
2021-02-17 18:22:29,312 - log  - 抓取中国长城股票数据
2021-02-17 18:22:32,150 - log  - 添加中国长城股票数据到数据库--成功,用时-2.8379562999999735
2021-02-17 18:22:32,151 - log  - 中国长城 共487条数据已添加到数据库！
2021-02-17 18:22:32,156 - log  - 初始化pro接口成功
2021-02-17 18:22:32,156 - log  - 抓取华控赛格股票数据
2021-02-17 18:22:34,903 - log  - 添加华控赛格股票数据到数据库--成功,用时-2.748122599999988
2021-02-17 18:22:34,904 - log  - 华控赛格 共487条数据已添加到数据库！
2021-02-17 18:22:34,907 - log  - 初始化pro接口成功
2021-02-17 18:22:34,908 - log  - 抓取华侨城A股票数据
2021-02-17 18:22:37,764 - log  - 添加华侨城A股票数据到数据库--成功,用时-2.8559601999999984
2021-02-17 18:22:37,765 - log  - 华侨城A 共487条数据已添加到数据库！
2021-02-17 18:22:37,768 - log  - 初始化pro接口成功
2021-02-17 18:22:37,768 - log  - 抓取特发信息股票数据
2021-02-17 18:22:40,567 - log  - 添加特发信息股票数据到数据库--成功,用时-2.7990728999999988
2021-02-17 18:22:40,567 - log  - 特发信息 共487条数据已添加到数据库！
2021-02-17 18:22:40,571 - log  - 初始化pro接口成功
2021-02-17 18:22:40,571 - log  - 抓取海王生物股票数据
2021-02-17 18:22:43,339 - log  - 添加海王生物股票数据到数据库--成功,用时-2.7674435999999787
2021-02-17 18:22:43,339 - log  - 海王生物 共487条数据已添加到数据库！
2021-02-17 18:22:43,343 - log  - 初始化pro接口成功
2021-02-17 18:22:43,343 - log  - 抓取盐田港股票数据
2021-02-17 18:22:46,008 - log  - 添加盐田港股票数据到数据库--成功,用时-2.6642506000000026
2021-02-17 18:22:46,008 - log  - 盐田港 共481条数据已添加到数据库！
2021-02-17 18:22:46,012 - log  - 初始化pro接口成功
2021-02-17 18:22:46,012 - log  - 抓取深圳机场股票数据
2021-02-17 18:22:48,817 - log  - 添加深圳机场股票数据到数据库--成功,用时-2.805770499999994
2021-02-17 18:22:48,817 - log  - 深圳机场 共487条数据已添加到数据库！
2021-02-17 18:22:48,821 - log  - 初始化pro接口成功
2021-02-17 18:22:48,821 - log  - 抓取天健集团股票数据
2021-02-17 18:22:51,505 - log  - 添加天健集团股票数据到数据库--成功,用时-2.6836616999999876
2021-02-17 18:22:51,505 - log  - 天健集团 共482条数据已添加到数据库！
2021-02-17 18:22:51,509 - log  - 初始化pro接口成功
2021-02-17 18:22:51,510 - log  - 抓取广聚能源股票数据
2021-02-17 18:22:54,231 - log  - 添加广聚能源股票数据到数据库--成功,用时-2.7206912000000045
2021-02-17 18:22:54,231 - log  - 广聚能源 共487条数据已添加到数据库！
2021-02-17 18:22:54,234 - log  - 初始化pro接口成功
2021-02-17 18:22:54,235 - log  - 抓取中信海直股票数据
